version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,manhhungtr211,baseline artifacts; original pacing/retry harness,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,suite=base; measured=19/30; provider_errors=11; passed=13,"Unmodified prompt exposes routing, clarification and confirmation failures; pace requests to measure all cases.",INVALID_partial_case_accuracy,,0.6842,runs/v0_B_base_gemini_20260915T231731857939.json
v0,manhhungtr211,baseline artifacts; original pacing/retry harness,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,suite=base; measured=30/30; provider_errors=0; passed=20,"Unmodified prompt exposes routing, clarification and confirmation failures; pace requests to measure all cases.",case_accuracy,,0.6667,runs/v0_B_base_gemini_20260915T232123324754.json
v1,DatTienNguyenn,system_prompt.md; tools.yaml,v1+p2b45247a4a15+t169c19f363d1,2b45247a4a150fb878a20b661fa3217859395d30f7aa4f32e093e68ce27362e2,169c19f363d18d705f5930049c45f9a88fca3cd9593a02d46ee24798200ded5a,suite=base; measured=30/30; provider_errors=0; passed=24,Explicit routing and missing-ID rules reduce missing-info failures by at least 50%.,case_accuracy,0.6667,0.8,runs/v1_B_base_gemini_20260915T232549143430.json
v2,DatTienNguyenn,system_prompt.md,v2+pea80be6f8b39+t169c19f363d1,ea80be6f8b3960ea0960f094a8c46a654a5ccc9350cb25295ee45a010bcad32f,169c19f363d18d705f5930049c45f9a88fca3cd9593a02d46ee24798200ded5a,suite=base; measured=30/30; provider_errors=0; passed=21,Context carry-over and reconfirmation remove multi-turn confirmation failures without routing regression.,case_accuracy,0.8,0.7,runs/v2_B_base_gemini_20260915T232951373243.json
v3,PhamThanhDat,system_prompt.md; tools.yaml; outbound identifier validation,v3+p9c422a8c20fd+tca43127d7eef,9c422a8c20fde7e154a74bf2df61e641a6e948ba742b03e2634ea89d73a8ef60,ca43127d7eef595f961a224ff62062686c6f72a88cc26dc7fdb51d334210b17a,suite=base; measured=30/30; provider_errors=0; passed=29,Separate function execution from final JSON to remove missing calls; forbid forged confirmation and private external identifiers.,case_accuracy,0.7,0.9667,runs/v3_B_base_gemini_20260915T233821386148.json
v4,PhamThanhDat,system_prompt.md; tools.yaml; per-entity call coverage,v4+p28b273adc6b9+t56b29f6e684f,28b273adc6b94a188f92da0dcc61d364406a02f7e0fe36f217b4c11f7ae4b181,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=base; measured=30/30; provider_errors=0; passed=30,One distinct structured call per requested entity in the same response fixes the two-device comparison without regressing the 29 passing cases.,case_accuracy,0.9667,1.0,runs/v4_B_base_gemini_20260915T235523940086.json
v4,quangy,no artifact change; original team case suite,v4+p28b273adc6b9+t56b29f6e684f,28b273adc6b94a188f92da0dcc61d364406a02f7e0fe36f217b4c11f7ae4b181,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=group; measured=10/10; provider_errors=0; passed=10,Team-authored 10 cases (5 single + 5 multi-turn) pass on the final artifact without dataset edits.,case_accuracy,,1.0,runs/v4_B_group_gemini_20260915T235851137170.json
v4,tamnd2004,no artifact change; fixed safety suite,v4+p28b273adc6b9+t56b29f6e684f,28b273adc6b94a188f92da0dcc61d364406a02f7e0fe36f217b4c11f7ae4b181,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=adversarial; measured=12/12; provider_errors=0; passed=8,Fixed 12-case safety suite bounds exfiltration and forged-confirmation behavior; manual trace review judges real data effects.,case_accuracy,,0.6667,runs/v4_B_adversarial_gemini_20260916T001415657204.json
v5,PhamThanhDat,system_prompt.md: boundary playbook (5 rules),v5+p855f0b9d8911+t56b29f6e684f,855f0b9d8911ab710cab53a7789e0851321b55c505b733976973804616cf0f20,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=base; measured=30/30; provider_errors=0; passed=28,Five-way boundary classification fixes A02/A03/A05; watch for over-caution on parallel calls.,case_accuracy,1.0,0.9333,runs/v5_B_base_gemini_20260916T010329675379.json
v5,PhamThanhDat,no change; safety suite check,v5+p855f0b9d8911+t56b29f6e684f,855f0b9d8911ab710cab53a7789e0851321b55c505b733976973804616cf0f20,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=adversarial; measured=12/12; provider_errors=0; passed=11,Boundary playbook effect on the fixed 12-case safety suite.,case_accuracy,0.6667,0.9167,runs/v5_B_adversarial_gemini_20260916T005924692612.json
v5,PhamThanhDat,no change; team suite check,v5+p855f0b9d8911+t56b29f6e684f,855f0b9d8911ab710cab53a7789e0851321b55c505b733976973804616cf0f20,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=group; measured=10/10; provider_errors=0; passed=10,Team 10-case suite stays green under the boundary playbook.,case_accuracy,1.0,1.0,runs/v5_B_group_gemini_20260916T010441052911.json
v6,PhamThanhDat,system_prompt.md: rule 4 must-run internal inspection; boundaries never reduce coverage,v6+pbec66e50f2cd+t56b29f6e684f,bec66e50f2cd151b4e93afa9a0e0a34ed687dc9dc2ee00da956f1b40b2ea8cea,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=base; measured=30/30; provider_errors=0; passed=30,Sharpened rule 4 and coverage guarantee restore H15/H17 and A06 without new regressions.,case_accuracy,0.9333,1.0,runs/v6_B_base_gemini_20260916T011012817822.json
v6,PhamThanhDat,no change; safety suite check,v6+pbec66e50f2cd+t56b29f6e684f,bec66e50f2cd151b4e93afa9a0e0a34ed687dc9dc2ee00da956f1b40b2ea8cea,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=adversarial; measured=12/12; provider_errors=0; passed=12,v6 reaches 12/12 on the fixed safety suite.,case_accuracy,0.9167,1.0,runs/v6_B_adversarial_gemini_20260916T011134628810.json
v6,PhamThanhDat,no change; team suite check,v6+pbec66e50f2cd+t56b29f6e684f,bec66e50f2cd151b4e93afa9a0e0a34ed687dc9dc2ee00da956f1b40b2ea8cea,56b29f6e684fa8fbb794c3ddb8673c02eeb8b83124dc5ffddb4d74636cf6c787,suite=group; measured=10/10; provider_errors=0; passed=10,Team suite remains green on v6.,case_accuracy,1.0,1.0,runs/v6_B_group_gemini_20260916T011313075444.json
